ཁ ཚ {'rel_weight': 0.9856867838381831, 'rel_center': 0.9981446953857879, 'rel_inertia': 0.9995410440700991}
ཁ ཛ {'rel_weight': 0.9888138654237973, 'rel_center': 0.9982209122691094, 'rel_inertia': 0.9995323279463528}
ཁ ཝ {'rel_weight': 0.9962999092196619, 'rel_center': 0.9988353166295856, 'rel_inertia': 0.9999442465104589}
ཁ ཞ {'rel_weight': 0.9893963610132746, 'rel_center': 0.9975766744412847, 'rel_inertia': 0.9996714903068941}
ཁ ཟ {'rel_weight': 0.9984988997464442, 'rel_center': 0.9995579653208649, 'rel_inertia': 0.9998997531974494}
ཁ འ {'rel_weight': 0.9970975450795179, 'rel_center': 0.9993714965850776, 'rel_inertia': 0.9998709750953098}
ཁ ཡ {'rel_weight': 0.9965735777550121, 'rel_center': 0.9991276532345205, 'rel_inertia': 0.9998281084053471}
ཁ ར {'rel_weight': 0.9923957744601495, 'rel_center': 0.9997884960375734, 'rel_inertia': 0.9998132713074482}
ཁ ལ {'rel_weight': 0.9928751488208675, 'rel_center': 0.9998006858657048, 'rel_inertia': 0.9998574011132055}
ཁ ཤ {'rel_weight': 0.9965340222795475, 'rel_center': 0.9976121521436051, 'rel_inertia': 0.9997602868615736}
ཁ ས {'rel_weight': 0.9987469481075134, 'rel_center': 0.999606715897921, 'rel_inertia': 0.9999562268969212}
ཁ ཧ {'rel_weight': 0.9944158564996305, 'rel_center': 0.9980228331709776, 'rel_inertia': 0.9997439811171609}
ཁ ཨ {'rel_weight': 0.9936995820187902, 'rel_center': 0.9995932998519436, 'rel_inertia': 0.9999294435682589}
ཁ ཀྵ {'rel_weight': 0.973019595062232, 'rel_center': 0.9951208321927908, 'rel_inertia': 0.9989203776372262}
ཁ ཪ {'rel_weight': 0.9922787179302066, 'rel_center': 0.999699330075678, 'rel_inertia': 0.9998344266954523}
ཁ ཫ {'rel_weight': 0.9861443983491576, 'rel_center': 0.9985289440837071, 'rel_inertia': 0.999705156939597}
ཁ ཬ {'rel_weight': 0.9861443983491576, 'rel_center': 0.9985289440837071, 'rel_inertia': 0.999705156939597}
ག ཀ {'rel_weight': 0.9968169641768684, 'rel_center': 0.9995878305687343, 'rel_inertia': 0.999945038879375}
ག ཁ {'rel_weight': 0.9972350232123783, 'rel_center': 0.9985395309286001, 'rel_inertia': 0.9997273325928856}
ག ག {'rel_weight': 0.9985843864325223, 'rel_center': 0.9998214102256807, 'rel_inertia': 0.9999334038995875}
ག ང {'rel_weight': 0.9916469674377288, 'rel_center': 0.9984097253334125, 'rel_inertia': 0.9996121562187605}
ག ཅ {'rel_weight': 0.9996402561966787, 'rel_center': 0.9989128377858397, 'rel_inertia': 0.9996440812961224}
ག ཆ {'rel_weight': 0.9959311050871527, 'rel_center': 0.9990010704037674, 'rel_inertia': 0.9996960133328853}
ག ཇ {'rel_weight': 0.9990609737330037, 'rel_center': 0.9980473074189214, 'rel_inertia': 0.9997002212036898}
ག ཉ {'rel_weight': 0.9970877350853968, 'rel_center': 0.9991102484139573, 'rel_inertia': 0.9999203413552559}
ག ཏ {'rel_weight': 0.9994674584620014, 'rel_center': 0.9990968062653273, 'rel_inertia': 0.9998614514054864}
ག ཐ {'rel_weight': 0.9998938786782214, 'rel_center': 0.999247063980048, 'rel_inertia': 0.9996395284632803}
ག ད {'rel_weight': 0.99899087116152, 'rel_center': 0.9989990868513418, 'rel_inertia': 0.999909826200828}
ག ན {'rel_weight': 0.9956273155213488, 'rel_center': 0.9990173264351065, 'rel_inertia': 0.9999237304626509}
ག པ {'rel_weight': 0.990381642090252, 'rel_center': 0.999062140475384, 'rel_inertia': 0.999572841861445}
ག ཕ {'rel_weight': 0.9934278989290012, 'rel_center': 0.9989399383991218, 'rel_inertia': 0.9996003450575329}
ག བ {'rel_weight': 0.9933610094833195, 'rel_center': 0.9987374179192485, 'rel_inertia': 0.9996653993442596}
ག མ {'rel_weight': 0.9983498473070714, 'rel_center': 0.9987274995354283, 'rel_inertia': 0.9996375585788022}
ག ཙ {'rel_weight': 0.9941891924391946, 'rel_center': 0.9973826878464319, 'rel_inertia': 0.9999081169591482}
ག ཚ {'rel_weight': 0.9899667961805443, 'rel_center': 0.9976282150126726, 'rel_inertia': 0.999857264871522}
ག ཛ {'rel_weight': 0.9930938777661585, 'rel_center': 0.997247783984514, 'rel_inertia': 0.999845042942924}
ག ཝ {'rel_weight': 0.9994200784379769, 'rel_center': 0.9998415424678797, 'rel_inertia': 0.999647237371138}
ག ཞ {'rel_weight': 0.9936763733556357, 'rel_center': 0.9988589578282043, 'rel_inertia': 0.9998475115640233}
ག ཟ {'rel_weight': 0.9972210879111946, 'rel_center': 0.999010839719722, 'rel_inertia': 0.9996308998466468}
ག འ {'rel_weight': 0.9928175327371567, 'rel_center': 0.9992664447068258, 'rel_inertia': 0.999554114081431}
ག ཡ {'rel_weight': 0.9922935654126509, 'rel_center': 0.9993542308934591, 'rel_inertia': 0.9995076373894882}
ག ར {'rel_weight': 0.9881157621177883, 'rel_center': 0.998918515860564, 'rel_inertia': 0.9995557576061691}
ག ལ {'rel_weight': 0.9885951364785063, 'rel_center': 0.9989160884786009, 'rel_inertia': 0.9995388078110982}
ག ཤ {'rel_weight': 0.9991859653780913, 'rel_center': 0.9988402010520095, 'rel_inertia': 0.9999177401768147}
ག ས {'rel_weight': 0.9969730395501254, 'rel_center': 0.9984540593141459, 'rel_inertia': 0.9996606087290337}
ག ཧ {'rel_weight': 0.9986958688419917, 'rel_center': 0.9990071598987693, 'rel_inertia': 0.9998837861614949}
ག ཨ {'rel_weight': 0.9979795943611514, 'rel_center': 0.9990592681794818, 'rel_inertia': 0.9996646805058655}
ག ཀྵ {'rel_weight': 0.9772996074045932, 'rel_center': 0.9959447797305419, 'rel_inertia': 0.9992399689916112}
ག ཪ {'rel_weight': 0.9879987055878454, 'rel_center': 0.9987807763024067, 'rel_inertia': 0.9995716296727637}
ག ཫ {'rel_weight': 0.9818643860067964, 'rel_center': 0.9992106502245206, 'rel_inertia': 0.9996476926779034}
ག ཬ {'rel_weight': 0.9818643860067964, 'rel_center': 0.9992106502245206, 'rel_inertia': 0.9996476926779034}
ང ཀ {'rel_weight': 0.9933920928601023, 'rel_center': 0.9983396880859191, 'rel_inertia': 0.9995160276916828}
ང ཁ {'rel_weight': 0.9929740338245924, 'rel_center': 0.999377670885763, 'rel_inertia': 0.9998182251774259}
ང ག {'rel_weight': 0.988793443469493, 'rel_center': 0.9986007629303698, 'rel_inertia': 0.9995007456597078}
ང ང {'rel_weight': 0.9985620895992419, 'rel_center': 0.9998173657374416, 'rel_inertia': 0.9999535721125656}
ང ཅ {'rel_weight': 0.990568800840292, 'rel_center': 0.9991753148591904, 'rel_inertia': 0.9999227889239886}
ང ཆ {'rel_weight': 0.9861401621241234, 'rel_center': 0.9993635274611273, 'rel_inertia': 0.9998688959598191}
ང ཇ {'rel_weight': 0.9892700307699744, 'rel_center': 0.9994748613246539, 'rel_inertia': 0.9998642774623637}
ང ཉ {'rel_weight': 0.9872967921223675, 'rel_center': 0.9978247717986202, 'rel_inertia': 0.9996460178672592}
ང ཏ {'rel_weight': 0.9907415985749694, 'rel_center': 0.9989248148120099, 'rel_inertia': 0.9995550970828775}
ང ཐ {'rel_weight': 0.9903151783587493, 'rel_center': 0.9990572241571314, 'rel_inertia': 0.9999205711081594}
ང ད {'rel_weight': 0.9912181858754507, 'rel_center': 0.9982602242853084, 'rel_inertia': 0.9994798736898509}
ང ན {'rel_weight': 0.9858363725583195, 'rel_center': 0.9981469328745294, 'rel_inertia': 0.9995350451802811}
ང པ {'rel_weight': 0.9998274149467187, 'rel_center': 0.9994018756430257, 'rel_inertia': 0.9999632334571573}
ང ཕ {'rel_weight': 0.9967811581079695, 'rel_center': 0.9992439488251906, 'rel_inertia': 0.9999509863051611}
ང བ {'rel_weight': 0.9968480475536512, 'rel_center': 0.9990889887534902, 'rel_inertia': 0.999900230586903}
ང མ {'rel_weight': 0.9918592097298993, 'rel_center': 0.9994200613505945, 'rel_inertia': 0.9999234030624847}
ང ཙ {'rel_weight': 0.9843982494761653, 'rel_center': 0.9973856106008989, 'rel_inertia': 0.9994757956381586}
ང ཚ {'rel_weight': 0.980175853217515, 'rel_center': 0.9976420770764177, 'rel_inertia': 0.9994259396931502}
ང ཛ {'rel_weight': 0.9833029348031292, 'rel_center': 0.9978359585366853, 'rel_inertia': 0.9994157156284259}
ང ཝ {'rel_weight': 0.9907889785989938, 'rel_center': 0.9986800384529171, 'rel_inertia': 0.9998553474252969}
ང ཞ {'rel_weight': 0.9838854303926065, 'rel_center': 0.9974441641383043, 'rel_inertia': 0.999544321617859}
ང ཟ {'rel_weight': 0.9929879691257761, 'rel_center': 0.9990931600381908, 'rel_inertia': 0.9999277196735955}
ང འ {'rel_weight': 0.997391524299814, 'rel_center': 0.9992633758156545, 'rel_inertia': 0.9999633609012504}
ང ཡ {'rel_weight': 0.9979154916243198, 'rel_center': 0.999123332320829, 'rel_inertia': 0.9998799016776453}
ང ར {'rel_weight': 0.9979067050808176, 'rel_center': 0.9993572999079495, 'rel_inertia': 0.9999102437077257}
